vignette_name,generation_number,generation_time,response,reflection_score,id
mother,3,13488,look for help for the elderly,100,5ce2f6723f8060000109feab
mother,4,8074,apply for government help,74,5ce2f6723f8060000109feab
mother,5,18484,hire someone to take care of him at his home,59,5ce2f6723f8060000109feab
class,0,400805,explain to the teacher what happened,100,5ce2f6723f8060000109feab
class,1,9448,ask my mom  to bring the assignment,69,5ce2f6723f8060000109feab
class,2,25801,pretend to be sick and miss class,31,5ce2f6723f8060000109feab
class,3,19242,ask a friend if I could copy their assignment,9,5ce2f6723f8060000109feab
class,4,6408,nothing else,0,5ce2f6723f8060000109feab
class,5,3245,nothing,0,5ce2f6723f8060000109feab
gas,0,7338,give her the ride,83,5ce2f6723f8060000109feab
gas,2,12080,give her money for cab fare,66,5ce2f6723f8060000109feab
gas,3,4573,help her get an uber,55,5ce2f6723f8060000109feab
gas,4,14190,tell her where to find public transit,48,5ce2f6723f8060000109feab
gas,5,5816,nothing else,0,5ce2f6723f8060000109feab
concert,0,14444,go into the concert without him,43,5ce2f6723f8060000109feab
concert,1,7548,get him an uber to drive him back home,61,5ce2f6723f8060000109feab
concert,2,10013,give him cab fare to get him back home,55,5ce2f6723f8060000109feab
concert,3,8645,help him buy a ticket at the door if available,78,5ce2f6723f8060000109feab
concert,4,13694,nothing else,0,5ce2f6723f8060000109feab
concert,5,2522,nothing,0,5ce2f6723f8060000109feab
store,0,10926,call another employee to cover your shift,100,5ce2f6723f8060000109feab
store,1,5083,lock the door and close the store,35,5ce2f6723f8060000109feab
store,2,9954,leave a message for your boss explaining the situation,89,5ce2f6723f8060000109feab
store,3,14671,call to see if the appointment can be postponed,57,5ce2f6723f8060000109feab
store,4,23781,nothing,0,5ce2f6723f8060000109feab
store,5,3515,nothing else,0,5ce2f6723f8060000109feab
summer,0,5030,call the police,87,5ce2f6723f8060000109feab
summer,1,9913,contact mall security to have the owner paged,94,5ce2f6723f8060000109feab
summer,2,4241,break the window,30,5ce2f6723f8060000109feab
summer,3,12745,get the dog out and give him water,100,5ce2f6723f8060000109feab
summer,4,16535,nothing else,0,5ce2f6723f8060000109feab
summer,5,2401,nothing,0,5ce2f6723f8060000109feab
ring,0,10590,call the taxi company and ask them to look for it,87,5ce2f6723f8060000109feab
ring,1,5956,explain the situation to your sister,98,5ce2f6723f8060000109feab
ring,2,11355,find something to stand in for the ring until it can be replaced,71,5ce2f6723f8060000109feab
ring,3,7778,offer to buy another ring,100,5ce2f6723f8060000109feab
ring,4,14037,report it to the insurance company,69,5ce2f6723f8060000109feab
ring,5,9582,nothing,0,5ce2f6723f8060000109feab
arizona,0,10834,move to another spot to try to find service,100,5ce2f6723f8060000109feab
arizona,1,9973,give her your water and leave to find help,91,5ce2f6723f8060000109feab
arizona,2,13058,try to build a fire to get attention,87,5ce2f6723f8060000109feab
arizona,3,4952,scream to attract attention,79,5ce2f6723f8060000109feab
arizona,5,17378,walk away,0,5ce2f6723f8060000109feab
bakery,0,7734,ask the employees about the missing money,94,5ce2f6723f8060000109feab
bakery,1,9156,put money from your own pocket into the register,91,5ce2f6723f8060000109feab
bakery,4,34644,pretend I miscounted,0,5ce2f6723f8060000109feab
bakery,5,4343,count again,59,5ce2f6723f8060000109feab
gas,0,10339,I could offer her a ride,35,5ec03a7169738f43d87ffc72
gas,2,15857,I could say I can drop her off somewhere halfway instead,59,5ec03a7169738f43d87ffc72
gas,3,4209,I can just say no,6,5ec03a7169738f43d87ffc72
gas,4,18160,I can offer to pay for her uber or taxi,17,5ec03a7169738f43d87ffc72
gas,5,10259,I can just ignore her request,0,5ec03a7169738f43d87ffc72
concert,0,13428,I could tell him to go back by himself to get it,42,5ec03a7169738f43d87ffc72
concert,1,6690,I could offer him my ticket instead,26,5ec03a7169738f43d87ffc72
concert,2,20479,I could go to the box office and see if there are any more tickets left for sale,89,5ec03a7169738f43d87ffc72
concert,3,5751,We could all go home instead,1,5ec03a7169738f43d87ffc72
concert,4,10378,We could sell our tickets instead of going,16,5ec03a7169738f43d87ffc72
concert,5,8407,We could sneak him in,22,5ec03a7169738f43d87ffc72
bakery,0,15445,You could add to the register with your own money,39,5ec03a7169738f43d87ffc72
bakery,1,9142,You could tell the manager what happened,49,5ec03a7169738f43d87ffc72
bakery,2,10586,You could tell the employees what happened,49,5ec03a7169738f43d87ffc72
bakery,3,8997,You can get insight with another co worker on what to do,68,5ec03a7169738f43d87ffc72
bakery,4,15412,You can blame it on someone else,3,5ec03a7169738f43d87ffc72
bakery,5,7838,You can lie about the tota,5,5ec03a7169738f43d87ffc72
arizona,1,11356,I try to get her arm out more forcefully,18,5ec03a7169738f43d87ffc72
arizona,2,23553,I climb down the mountain and call for help,100,5ec03a7169738f43d87ffc72
arizona,3,7526,I cut her arm off,0,5ec03a7169738f43d87ffc72
arizona,4,62013,I go to the nearest house or apartment near and ask for help,56,5ec03a7169738f43d87ffc72
arizona,5,9832,I run to a police station nearbt,66,5ec03a7169738f43d87ffc72
mother,0,3304,I take out a loan,37,5ec03a7169738f43d87ffc72
mother,1,14939,I look for a cheaper alternative from a retirement home,87,5ec03a7169738f43d87ffc72
mother,2,12664,I ask another family member to take him in,75,5ec03a7169738f43d87ffc72
mother,3,4382,I take him in anyway,15,5ec03a7169738f43d87ffc72
mother,4,21269,I pay someone to live with him ex. nurse,67,5ec03a7169738f43d87ffc72
mother,5,69636,I would ask a family member for help and advice,88,5ec03a7169738f43d87ffc72
class,0,8004,I could call my mom and ask her to bring it to me,100,5ec03a7169738f43d87ffc72
class,1,15241,I could explain my situation to the teacher and hope she understands/,55,5ec03a7169738f43d87ffc72
class,2,9790,I could quickly write up my assignment again,25,5ec03a7169738f43d87ffc72
class,3,9373,I could skip the class,0,5ec03a7169738f43d87ffc72
class,4,16292,I could just go to class and not get credit for it,0,5ec03a7169738f43d87ffc72
class,5,25758,"I could have my mom call the teacher and explain what happened. ",64,5ec03a7169738f43d87ffc72
summer,0,5363,I could call the police,90,5ec03a7169738f43d87ffc72
summer,1,4135,I could call mall security,94,5ec03a7169738f43d87ffc72
summer,2,14658,I could wait outside the car for its owner and tell them how wrong this is,1,5ec03a7169738f43d87ffc72
summer,3,9797,I could break into the car and get the dog out,18,5ec03a7169738f43d87ffc72
summer,4,10718,I could call someone I know and ask for help,62,5ec03a7169738f43d87ffc72
summer,5,14898,I could go into the mall and announce the vehicle model and explain the situation,49,5ec03a7169738f43d87ffc72
ring,0,11751,I could contact the taxi guy and see if he still has it,100,5ec03a7169738f43d87ffc72
ring,1,9819,I could call the taxi company and ask for help,71,5ec03a7169738f43d87ffc72
ring,2,9198,I could be honest and tell them what happened,40,5ec03a7169738f43d87ffc72
ring,3,12629,I could buy another one at a jewlery store nearby,3,5ec03a7169738f43d87ffc72
ring,4,10905,I could skip the wedding,0,5ec03a7169738f43d87ffc72
ring,5,11341,I could tell them I had an emergency as an excuse,63,5ec03a7169738f43d87ffc72
medication,0,4213,I could take out a lona,24,5ec03a7169738f43d87ffc72
medication,1,7408,I could switch insurance companies,67,5ec03a7169738f43d87ffc72
medication,2,9150,I could ask a family member for money,18,5ec03a7169738f43d87ffc72
medication,3,9092,I could take on another job,26,5ec03a7169738f43d87ffc72
medication,4,18456,I could debate the situation with my insurance company,87,5ec03a7169738f43d87ffc72
medication,5,16209,I could ask a doctor if there is another alternative,76,5ec03a7169738f43d87ffc72
store,0,9438,I could leave him a message and explain your situation,81,5ec03a7169738f43d87ffc72
store,1,11674,You could call a co worker and ask if they can come in,92,5ec03a7169738f43d87ffc72
store,2,8618,You could just leave,7,5ec03a7169738f43d87ffc72
store,3,8624,You could stay and miss your court appointment,0,5ec03a7169738f43d87ffc72
store,4,13145,You can call and reschedule your court appointment,12,5ec03a7169738f43d87ffc72
store,5,25479,You could keep trying calling the owner until he arrives,24,5ec03a7169738f43d87ffc72
class,0,16106,Call my mom to bring homework to me,100,57f2da5c6c19420001438d19
class,1,10475,"Tell the teacher the truth ",100,57f2da5c6c19420001438d19
class,2,13205,Hurry up and redo the homework,20,57f2da5c6c19420001438d19
class,3,12667,Pretend I am sick and need to go home,0,57f2da5c6c19420001438d19
class,4,11522,Not turn in the homework,0,57f2da5c6c19420001438d19
class,5,8203,Skip class,0,57f2da5c6c19420001438d19
medication,0,13660,See if there is a cheaper medicine that would help,100,57f2da5c6c19420001438d19
medication,1,11772,Borrow money from family/friend,90,57f2da5c6c19420001438d19
medication,2,18603,Shop around for cheapest price,100,57f2da5c6c19420001438d19
medication,3,9623,Pay for it and cut back somewhere else,100,57f2da5c6c19420001438d19
medication,4,14477,Not get the medicine at all,0,57f2da5c6c19420001438d19
medication,5,4459,Steal it,0,57f2da5c6c19420001438d19
mother,0,21248,See what services are available to help me help my father,100,57f2da5c6c19420001438d19
mother,1,12061,Get a bigger apartment,94,57f2da5c6c19420001438d19
mother,2,10484,See if family can help finacially,89,57f2da5c6c19420001438d19
mother,3,10805,Hire at home nurses,100,57f2da5c6c19420001438d19
mother,4,15365,Move in with him,99,57f2da5c6c19420001438d19
mother,5,21607,Figure out a change in my finances to help,100,57f2da5c6c19420001438d19
bakery,0,14896,Count the drawer again and hope its okay,100,57f2da5c6c19420001438d19
bakery,1,10163,Try to figure out what happened,100,57f2da5c6c19420001438d19
bakery,2,18857,Put in my own money to balance the drawer,7,57f2da5c6c19420001438d19
bakery,3,7677,Leave the drawer short,0,57f2da5c6c19420001438d19
bakery,4,25055,Dont mention the drawer was short,0,57f2da5c6c19420001438d19
bakery,5,32435,Charge more the next day to make up for shortage,0,57f2da5c6c19420001438d19
store,0,13512,Call another employee to see if they can help,100,57f2da5c6c19420001438d19
store,1,13433,Keeping calling my boss,100,57f2da5c6c19420001438d19
store,2,16657,Close the store and go to court,85,57f2da5c6c19420001438d19
store,3,7207,Skip court,0,57f2da5c6c19420001438d19
store,4,19105,Just leave the store open and go to court,0,57f2da5c6c19420001438d19
store,5,17261,Try to reschedule court,13,57f2da5c6c19420001438d19
gas,0,6078,Say no,92,57f2da5c6c19420001438d19
gas,1,10176,Offer to call her a cab,100,57f2da5c6c19420001438d19
gas,2,14447,Tell her you can take her part of the way,90,57f2da5c6c19420001438d19
gas,3,10551,Suggest she call police for help,100,57f2da5c6c19420001438d19
gas,4,18557,Give her some money to figure it out herself,89,57f2da5c6c19420001438d19
gas,5,7145,Take her where she wants to go,71,57f2da5c6c19420001438d19
ring,0,14634,Call Taxi company and hope they can bring it to you,100,57f2da5c6c19420001438d19
ring,1,16924,Tell your sister there is a problem,83,57f2da5c6c19420001438d19
ring,2,19443,Borrow a ring from someone else,18,57f2da5c6c19420001438d19
ring,3,14291,Ask someone to drive you to where taxi is,100,57f2da5c6c19420001438d19
ring,4,16185,Pretend you have it and let the ceromony go on,0,57f2da5c6c19420001438d19
ring,5,33563,Leave and that will cause a delay in ceromony,0,57f2da5c6c19420001438d19
summer,0,7406,Call the police,100,57f2da5c6c19420001438d19
summer,1,7359,Try to open car doors,100,57f2da5c6c19420001438d19
summer,2,16790,Go into store and ask them to page driver of the car,100,57f2da5c6c19420001438d19
summer,3,10891,Break window to get car open,51,57f2da5c6c19420001438d19
summer,4,20353,Wait to see if owner comes back,87,57f2da5c6c19420001438d19
summer,5,26155,Ask others for help,100,57f2da5c6c19420001438d19
arizona,0,6159,Go find help,92,57f2da5c6c19420001438d19
arizona,1,8401,Keep trying to get her arm out,91,57f2da5c6c19420001438d19
arizona,2,20063,Break her arm to get it out,8,57f2da5c6c19420001438d19
arizona,3,21039,Forget about her worry about yourself,0,57f2da5c6c19420001438d19
arizona,4,10463,Stay put and hope someone comes by to help,83,57f2da5c6c19420001438d19
arizona,5,30217,Yell for help,76,57f2da5c6c19420001438d19
concert,0,5812,Buy another ticket,100,57f2da5c6c19420001438d19
concert,1,7427,Skip the show,37,57f2da5c6c19420001438d19
concert,2,8691,Try to sneak in,0,57f2da5c6c19420001438d19
concert,3,17019,Go get the ticket and hope not to miss the whole show,77,57f2da5c6c19420001438d19
concert,4,13623,See if someone will sell you their ticket,88,57f2da5c6c19420001438d19
concert,5,26469,Let him miss the concert and you still see it,0,57f2da5c6c19420001438d19
ring,0,9377,"call the taxi company ",95,5a9998a14eecca0001dd791e
ring,1,9516,"call the taxi company ",99,5a9998a14eecca0001dd791e
ring,2,7095,"tell my sister ",98,5a9998a14eecca0001dd791e
ring,3,12077,"try to track down the taxi ",31,5a9998a14eecca0001dd791e
ring,4,7197,"nothing ",1,5a9998a14eecca0001dd791e
ring,5,10726,"talk to the venue ",93,5a9998a14eecca0001dd791e
concert,0,7902,try to buy tickets at the venue,100,5a9998a14eecca0001dd791e
concert,1,5612,"give him my ticket ",54,5a9998a14eecca0001dd791e
concert,2,8012,"call a friend to get the tickets ",64,5a9998a14eecca0001dd791e
concert,3,3566,"nothing ",5,5a9998a14eecca0001dd791e
concert,4,4251,"sneak into the concert ",2,5a9998a14eecca0001dd791e
concert,5,4372,go home,53,5a9998a14eecca0001dd791e
bakery,0,5461,"replace the money ",58,5a9998a14eecca0001dd791e
bakery,1,8071,"make everyone contribute to replacing the money ",59,5a9998a14eecca0001dd791e
bakery,2,2840,nothing,0,5a9998a14eecca0001dd791e
bakery,3,7365,"act like I had no idea ",2,5a9998a14eecca0001dd791e
bakery,4,3908,"work more ",25,5a9998a14eecca0001dd791e
bakery,5,6872,"ignore it ",1,5a9998a14eecca0001dd791e
summer,0,4472,"call the police ",100,5a9998a14eecca0001dd791e
summer,1,5187,"tell mall security ",100,5a9998a14eecca0001dd791e
summer,2,4280,"break a window ",100,5a9998a14eecca0001dd791e
summer,3,10155,"break into the car ",100,5a9998a14eecca0001dd791e
summer,4,3565,"nothing ",0,5a9998a14eecca0001dd791e
summer,5,13980,"get food and water or the dog ",100,5a9998a14eecca0001dd791e
arizona,0,9180,walk back to get help,84,5a9998a14eecca0001dd791e
arizona,1,4855,"get her unstuck ",57,5a9998a14eecca0001dd791e
arizona,2,2919,find water,89,5a9998a14eecca0001dd791e
arizona,3,6136,"try to find service ",83,5a9998a14eecca0001dd791e
arizona,4,2879,"nothing ",0,5a9998a14eecca0001dd791e
arizona,5,12412,"find shade ",82,5a9998a14eecca0001dd791e
gas,0,8422,"het her an uber ",100,5a9998a14eecca0001dd791e
gas,1,4685,"get her a taxi ",100,5a9998a14eecca0001dd791e
gas,2,4334,"call for help ",100,5a9998a14eecca0001dd791e
gas,3,5679,"drive her there ",0,5a9998a14eecca0001dd791e
gas,4,3200,ignore her,1,5a9998a14eecca0001dd791e
gas,5,7717,"give her wrong directions ",0,5a9998a14eecca0001dd791e
mother,0,4290,"move in with him ",82,5a9998a14eecca0001dd791e
mother,1,7080,"help him financially ",85,5a9998a14eecca0001dd791e
mother,2,9856,"help him find a cheaper place ",62,5a9998a14eecca0001dd791e
mother,3,7120,"move to a bigger apartment ",53,5a9998a14eecca0001dd791e
mother,4,3101,"nothing ",0,5a9998a14eecca0001dd791e
mother,5,9186,"get him an aide ",73,5a9998a14eecca0001dd791e
class,0,11164,"explain the situation ",100,5a9998a14eecca0001dd791e
class,1,3507,skip class,55,5a9998a14eecca0001dd791e
class,2,8315,"redo the assignment ",44,5a9998a14eecca0001dd791e
class,3,3261,"nothing ",51,5a9998a14eecca0001dd791e
class,4,8742,"pretend there was no homework ",0,5a9998a14eecca0001dd791e
store,0,4682,"skip work ",9,5a9998a14eecca0001dd791e
store,1,4429,"call in sick ",37,5a9998a14eecca0001dd791e
store,2,3574,"work anyway ",53,5a9998a14eecca0001dd791e
store,3,3030,"nothing ",0,5a9998a14eecca0001dd791e
store,4,7361,"go to the appointment ",54,5a9998a14eecca0001dd791e
store,5,5396,"ignore him ",2,5a9998a14eecca0001dd791e
medication,0,4774,get another job,100,5a9998a14eecca0001dd791e
medication,1,5395,"borrow money ",100,5a9998a14eecca0001dd791e
medication,2,6021,"steal the medication ",0,5a9998a14eecca0001dd791e
medication,3,9269,"explain situation to insurance ",100,5a9998a14eecca0001dd791e
medication,4,7139,"get new insurance ",89,5a9998a14eecca0001dd791e
medication,5,4348,"nothing ",0,5a9998a14eecca0001dd791e
medication,0,10406,appeal to the insurance company,92,5f989fa02b5a611b2df1a305
medication,1,10601,look for discounts or coupons for the medication,92,5f989fa02b5a611b2df1a305
medication,2,8942,work on a payment plan with the provider,58,5f989fa02b5a611b2df1a305
medication,3,8835,ask for advice on social media,57,5f989fa02b5a611b2df1a305
medication,4,10185,do my own research,77,5f989fa02b5a611b2df1a305
medication,5,5466,pray,5,5f989fa02b5a611b2df1a305
mother,0,11812,ask other relatives to help,80,5f989fa02b5a611b2df1a305
mother,1,7175,see if insurance can cover it,92,5f989fa02b5a611b2df1a305
mother,2,12103,get another job,40,5f989fa02b5a611b2df1a305
mother,3,9930,find a home aid,66,5f989fa02b5a611b2df1a305
mother,4,2035,pray,5,5f989fa02b5a611b2df1a305
mother,5,13746,see if he has other assets,64,5f989fa02b5a611b2df1a305
bakery,0,19943,make up the balance myself,38,5f989fa02b5a611b2df1a305
bakery,1,17525,call the other workers to check on the missing money,60,5f989fa02b5a611b2df1a305
bakery,2,8156,"say ""oh well""",39,5f989fa02b5a611b2df1a305
bakery,3,10044,appeal to the manager to forgive the missing amount,69,5f989fa02b5a611b2df1a305
bakery,4,17544,ask for advice on social media,52,5f989fa02b5a611b2df1a305
bakery,5,3285,no other ideas,30,5f989fa02b5a611b2df1a305
arizona,0,17826,go for help,72,5f989fa02b5a611b2df1a305
arizona,1,20271,drink her water so I can keep working,69,5f989fa02b5a611b2df1a305
arizona,2,3991,cut off her arm,2,5f989fa02b5a611b2df1a305
arizona,3,7426,grease her arm with sunscreen and try to pull it out,77,5f989fa02b5a611b2df1a305
arizona,4,2437,scream,63,5f989fa02b5a611b2df1a305
arizona,5,4094,cry,58,5f989fa02b5a611b2df1a305
concert,0,7097,send him back for the ticket,69,5f989fa02b5a611b2df1a305
concert,1,6814,try to buy a ticket for him at the door,85,5f989fa02b5a611b2df1a305
concert,2,18865,ask other concert goers if they had an extra ticket,100,5f989fa02b5a611b2df1a305
concert,4,8640,send him pics from inside the concert!,22,5f989fa02b5a611b2df1a305
concert,5,2891,no other ideas,8,5f989fa02b5a611b2df1a305
gas,0,10706,give her a ride to her destination,65,5f989fa02b5a611b2df1a305
gas,1,6749,give her a ride to a bus or train stop,58,5f989fa02b5a611b2df1a305
gas,2,4442,say no and leave her,32,5f989fa02b5a611b2df1a305
gas,3,9313,give her money to take transportation,79,5f989fa02b5a611b2df1a305
gas,4,4082,say good luck!,35,5f989fa02b5a611b2df1a305
gas,5,3903,no other ideas,15,5f989fa02b5a611b2df1a305
ring,0,17884,interrupt the ceremony to explain,74,5f989fa02b5a611b2df1a305
ring,1,9438,start crying,54,5f989fa02b5a611b2df1a305
ring,2,6545,"say ""a funny thing happened""",39,5f989fa02b5a611b2df1a305
ring,3,9852,run back to the taxi,18,5f989fa02b5a611b2df1a305
ring,4,6355,shit out of luck,17,5f989fa02b5a611b2df1a305
ring,5,2471,no ideas,16,5f989fa02b5a611b2df1a305
store,0,8063,close the store and put a note on the door,93,5f989fa02b5a611b2df1a305
store,1,5174,leave a message for your boss,86,5f989fa02b5a611b2df1a305
store,2,4183,call in another coworkers,73,5f989fa02b5a611b2df1a305
store,3,17470,stay at the store and miss the court appointment,5,5f989fa02b5a611b2df1a305
store,4,1897,no other ideas,5,5f989fa02b5a611b2df1a305
store,5,9616,quit the job,7,5f989fa02b5a611b2df1a305
class,0,15050,ask the teacher if my mom can send me a photo of it,91,5f989fa02b5a611b2df1a305
class,1,4812,take the Zero,5,5f989fa02b5a611b2df1a305
class,2,5345,beg for an extension,61,5f989fa02b5a611b2df1a305
class,3,8094,ask the teacher if my mom could write me an excuse,57,5f989fa02b5a611b2df1a305
class,4,18043,ask to make up the assignment during school time,82,5f989fa02b5a611b2df1a305
class,5,1778,no other ideas,3,5f989fa02b5a611b2df1a305
summer,0,9181,break the back window,80,5f989fa02b5a611b2df1a305
summer,1,9792,run into the store to make an announcement,64,5f989fa02b5a611b2df1a305
summer,2,3208,ignore the problem,0,5f989fa02b5a611b2df1a305
summer,3,6690,ask other people in the parking lot for help,91,5f989fa02b5a611b2df1a305
summer,4,1966,call the police,100,5f989fa02b5a611b2df1a305
summer,5,4084,call the humane society,37,5f989fa02b5a611b2df1a305
class,0,6215,Call mom to bring homework,93,5dba0a89ffee14070ae13f74
class,1,5139,Redo homework quickly,32,5dba0a89ffee14070ae13f74
class,2,8952,Tell teacher situation & ask to turn it in late,96,5dba0a89ffee14070ae13f74
class,3,8964,Ask for extension,87,5dba0a89ffee14070ae13f74
class,4,9139,Have panic attack,13,5dba0a89ffee14070ae13f74
class,5,9852,See if friend would let me copy homework,0,5dba0a89ffee14070ae13f74
mother,0,23366,See if siblings will help pay for retirement home,72,5dba0a89ffee14070ae13f74
mother,1,8495,See if another sibling can house him,76,5dba0a89ffee14070ae13f74
mother,2,16654,Take out loan to house him,12,5dba0a89ffee14070ae13f74
mother,3,9398,Research financial aid for this situation,87,5dba0a89ffee14070ae13f74
mother,4,16802,Sell parents house/items to have money to get bigger apt,84,5dba0a89ffee14070ae13f74
mother,5,11351,Pray for inspiration,85,5dba0a89ffee14070ae13f74
gas,0,11017,Call her a cab/Uber,89,5dba0a89ffee14070ae13f74
gas,2,13929,Ask around to see if anyone else at gas station is going out there,60,5dba0a89ffee14070ae13f74
gas,3,5544,Ignore her and go home,40,5dba0a89ffee14070ae13f74
gas,4,12658,Give her money for cab,87,5dba0a89ffee14070ae13f74
summer,0,4777,Call police,100,5dba0a89ffee14070ae13f74
summer,1,9582,Break window,55,5dba0a89ffee14070ae13f74
summer,2,15800,Wait for owner & keep an eye on dog,29,5dba0a89ffee14070ae13f74
summer,3,13586,Drive away,0,5dba0a89ffee14070ae13f74
summer,4,14066,Go into mall and have someone page owner of vehicle,71,5dba0a89ffee14070ae13f74
summer,5,18594,Break window & call cops,58,5dba0a89ffee14070ae13f74
arizona,0,25178,Leave her and go down to get service to call for help,99,5dba0a89ffee14070ae13f74
arizona,1,33482,"Tie tourniquet and remove arm if we have tools to do so ",51,5dba0a89ffee14070ae13f74
arizona,2,30557,Find things to leverage moving rocks or arm,59,5dba0a89ffee14070ae13f74
arizona,3,31123,Stay with friend & hope someone comes along,12,5dba0a89ffee14070ae13f74
arizona,4,23155,Yell for help to see if anyone is around,53,5dba0a89ffee14070ae13f74
arizona,5,14700,Leave and get help as quickly as I can,100,5dba0a89ffee14070ae13f74
ring,0,11941,Step out & call taxi service to have them come return it,88,5dba0a89ffee14070ae13f74
ring,2,21104,Whisper to the groom what is happening & ask what he wants me to do,32,5dba0a89ffee14070ae13f74
ring,3,17792,Whisper to priest to stall and try to go get the rings,66,5dba0a89ffee14070ae13f74
ring,4,39608,Call cab service to return & announce they are on their way when ring part comes,87,5dba0a89ffee14070ae13f74
ring,5,35227,Step out and hope I can resolve before disrupting service,46,5dba0a89ffee14070ae13f74
concert,0,26429,Drop Ted off where we are & call him a cab,91,5dba0a89ffee14070ae13f74
concert,1,9070,Give Ted my ticket & I go get his ticket,52,5dba0a89ffee14070ae13f74
concert,2,27498,All return to get ticket so we all experience the same concert,16,5dba0a89ffee14070ae13f74
concert,4,17655,Go to concert and then let Ted use car to go get his ticket,54,5dba0a89ffee14070ae13f74
concert,5,12558,See if we can buy him another one at concert,45,5dba0a89ffee14070ae13f74
medication,0,16678,Pull out of savings until we can find better solution,41,5dba0a89ffee14070ae13f74
medication,1,15026,Call doc office and see if there are any other options or if they can assist,66,5dba0a89ffee14070ae13f74
medication,2,17794,Try to find another job (with better pay or better insurance),62,5dba0a89ffee14070ae13f74
medication,3,15363,Take out loan and get a second job,54,5dba0a89ffee14070ae13f74
medication,4,6203,Ask parents for assistance,40,5dba0a89ffee14070ae13f74
medication,5,12143,Call insurance to see if they can assist,85,5dba0a89ffee14070ae13f74
bakery,0,16111,Put my own personal money in to make up for difference,58,5dba0a89ffee14070ae13f74
bakery,1,21326,Check cctvs to check for stolen cash,70,5dba0a89ffee14070ae13f74
bakery,2,13843,Tell boss situation and hope he is lenient,64,5dba0a89ffee14070ae13f74
bakery,3,8314,Own up and let whole team work overtime,89,5dba0a89ffee14070ae13f74
store,0,9606,Call another co-worker and ask them to come in,100,5dba0a89ffee14070ae13f74
store,3,8701,Leave and go to court appointment,54,5dba0a89ffee14070ae13f74
store,4,13337,Call lawyer/court explaining situation & see if we can get it moved,91,5dba0a89ffee14070ae13f74
store,5,8249,Stay until boss shows up,55,5dba0a89ffee14070ae13f74
summer,0,23869,call emergency services,100,603e97154847faf7531b40b6
summer,1,13415,go to the store and let the employees know about the situation,78,603e97154847faf7531b40b6
summer,2,15022,"see if the car is unlocked, if not, break the glass",50,603e97154847faf7531b40b6
summer,3,11341,try to locate the owner,80,603e97154847faf7531b40b6
summer,4,10201,enlist help from other passersby,28,603e97154847faf7531b40b6
summer,5,8801,call for help,93,603e97154847faf7531b40b6
medication,0,4173,crowdfund,59,603e97154847faf7531b40b6
medication,1,3363,sell my house,40,603e97154847faf7531b40b6
medication,2,11151,cash in my 401k as a hardship,94,603e97154847faf7531b40b6
medication,3,11159,ask relatives and friends for financial assistance,72,603e97154847faf7531b40b6
medication,4,3213,take out a loan,90,603e97154847faf7531b40b6
medication,5,6861,add to credit card debt,26,603e97154847faf7531b40b6
ring,0,4943,call the taxi company,100,603e97154847faf7531b40b6
ring,1,7379,buy a replacement,77,603e97154847faf7531b40b6
ring,2,11636,let the bride and groom know,100,603e97154847faf7531b40b6
ring,3,11561,tweet at the taxi company,88,603e97154847faf7531b40b6
ring,4,9289,call the police,50,603e97154847faf7531b40b6
ring,5,14519,ask friends or family for advice,84,603e97154847faf7531b40b6
gas,2,4540,just drive off,0,603e97154847faf7531b40b6
gas,4,18929,tell her I can take her part of the way,100,603e97154847faf7531b40b6
gas,5,11269,yell at her for approaching me,0,603e97154847faf7531b40b6
store,0,9023,call another coworker,75,603e97154847faf7531b40b6
store,1,5131,lock up and leave,32,603e97154847faf7531b40b6
store,2,5181,stay working,0,603e97154847faf7531b40b6
store,3,42539,leave the store unattended,0,603e97154847faf7531b40b6
store,4,10125,continue to try to reach my boss,100,603e97154847faf7531b40b6
store,5,11537,have a nervous breakdown,0,603e97154847faf7531b40b6
bakery,0,9181,replace the money,100,603e97154847faf7531b40b6
bakery,1,5477,find out where the missing money went,100,603e97154847faf7531b40b6
bakery,2,8943,do nothing and allow everyone to have to work OT,0,603e97154847faf7531b40b6
bakery,3,6963,contact the manager and explain the situation,100,603e97154847faf7531b40b6
bakery,4,15526,fail to ring others up to make up for the missing money,0,603e97154847faf7531b40b6
bakery,5,4109,nothing,0,603e97154847faf7531b40b6
arizona,0,7197,work hard to try and get her loose,100,603e97154847faf7531b40b6
arizona,1,15780,pull a 127 hours and cut her free...literally,0,603e97154847faf7531b40b6
arizona,2,3630,run for help,100,603e97154847faf7531b40b6
arizona,3,12770,nothing,0,603e97154847faf7531b40b6
arizona,4,24237,continue to try and gain cell access,64,603e97154847faf7531b40b6
arizona,5,21178,have a mental breakdown,0,603e97154847faf7531b40b6
class,0,5989,let the teacher know what happened,100,603e97154847faf7531b40b6
class,1,7053,ask for an extension until the next day,100,603e97154847faf7531b40b6
class,2,2765,call mom,100,603e97154847faf7531b40b6
class,3,4229,nothing,0,603e97154847faf7531b40b6
class,4,10276,try to negotiate with the teacher,81,603e97154847faf7531b40b6
concert,0,8058,have ted return to the house for his ticket,87,603e97154847faf7531b40b6
concert,2,2638,nothing,0,603e97154847faf7531b40b6
concert,3,7271,give ted my ticket,95,603e97154847faf7531b40b6
concert,4,13560,ask another concertgoing friend for their ticket for ted,64,603e97154847faf7531b40b6
concert,5,9157,yell at ted for his incompetence,0,603e97154847faf7531b40b6
